"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc","water_content_pc","water_content_err","dry_mass_pc","dry_mass_err","density_gcm3","density_gcm3_err","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,13206.8,277432,680416,15.34,297,4654,483,496,24761,777,2653,1868,1453,551,5388,10848,515978,78246,1.819832337,77.0153216,3.85076608,22.9846784,2.29846784,0.313261892,0.031326189,3712.228887,74.17879973,7766.606331,2010.436754,9084.977882,46.04204392,1442.000824,11.02828725,88.46094721,0.148073757,6242.966621,15.13819392,4.068857773,0.02443965,5.960197779,0.068926753,36.59073739,0.331067449,261.6355831,2.462160119,8.072382999,0.070931291,30.36236272,0.256345549,168.0404108,1.955006557,30.42377281,3.299014819,4.487970407,0.077593013,2.556674805,0.045766663
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,14097.8,266174,646476,15.86,211,2862,501,469,23998,1137,2655,2284,120,439,4828,10402,494246,74092,1.798777109,76.84431418,3.842215709,23.15568582,2.315568582,0.303477386,0.030347739,3558.613952,53.10499408,1973.319538,728.4065428,6626.492173,12.55357407,461.9149499,4.1315028,46.49996193,0.203261185,3694.801697,28.74082309,2.041238975,0.011991471,6.674238754,0.048794576,34.06414422,0.025144385,140.4650062,0.492872097,10.75975255,0.084324463,7.795499709,0.115748702,114.9998151,1.529219743,21.97235957,0.521915705,4.288871292,0.045808063,1.233894651,0.01690507
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,14846.4,245585,590423,14.25,137,2391,312,472,18460,805,2348,1887,807,586,4346,9613,452747,67502,1.640147661,75.82326542,3.791163271,24.17673458,2.417673458,0.301310001,0.030131,3474.148775,97.58287489,14359.67839,3663.807136,9905.624178,61.39912548,2197.326275,24.940646,125.5077224,1.234445563,6284.597012,38.94604963,2.439569014,0.01043611,6.367819135,0.01977015,39.61078518,0.154761353,67.51751759,0.138761249,5.520887153,0.016892471,50.21714125,0.70380336,209.897137,2.629036009,39.24997232,1.135258391,4.871746851,0.049115691,3.886857404,0.030253524
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,14564,234624,567519,13.65,40,2459,258,236,12120,598,2375,1418,401,533,4177,9986,442858,66384,1.649022158,83.3768962,4.16884481,16.6231038,1.66231038,0.184247026,0.018424703,3858.056048,77.55997105,3095.570446,982.5430133,7180.738417,69.86799065,574.7925663,2.379383359,57.22472424,0.585720892,3753.765384,11.81590071,2.601276107,0.027240957,5.912256586,0.047824043,37.01157435,0.426171368,65.03458094,0.286572998,8.662126972,0.092756516,13.30255749,0.023181323,130.9618352,0.711514938,13.33706426,0.180364254,3.755055231,0.044804774,1.35530674,0.018758598
"Bird Island","BI10","BI10.3",95,93,94,93.5,15890,231935,570746,14.51,293,2662,1109,576,34764,661,2205,1090,56,1179,7234,9180,420757,65737,1.720880638,84.50687591,4.225343795,15.49312409,1.549312409,0.169763258,0.016976326,3318.93706,140.159263,3134.001598,945.8757012,6732.62029,14.01324671,606.0238476,2.682720915,60.2997145,0.569052976,11390.75321,93.133272,5.745017677,0.069473871,7.120078834,0.066671523,25.20300712,0.083140624,71.97280393,0.774294779,7.32730259,0.127147154,10.28410137,0.050822268,119.867266,2.07053159,13.96054981,0.385854347,4.655602184,0.05117785,1.122462139,0.002027459
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,16415.1,223939,546130,14.17,438,2314,879,601,33078,991,2295,1035,125,1969,7558,9437,398011,64877,1.795879771,72.65882601,3.6329413,27.34117399,2.734117399,0.345133732,0.034513373,3046.497536,93.59658386,3044.618396,864.5444411,6605.365982,65.89419971,562.7226914,3.077677491,54.01867077,0.421691157,7073.372392,64.24483976,3.633220643,0.018650539,5.857915852,0.041156676,18.81424853,0.085012501,41.79884834,0.244174097,5.049060535,0.052888463,9.694363956,0.203712654,112.4064678,0.932757371,13.08141258,0.324463031,4.214972855,0.00900571,0.992804532,0.005060371
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,17551.6,258345,621152,16.01,216,2797,692,556,17711,708,2377,1137,272,655,6020,10058,477719,70887,1.632158654,83.17025225,4.158512612,16.82974775,1.682974775,0.191025979,0.019102598,3335.981766,60.0124919,1424.582603,617.0473108,7089.603048,60.94161611,441.0920959,6.868091078,47.40786167,0.811856875,1987.252608,27.50554815,1.389287804,0.01419095,4.568507031,0.022190259,19.39416739,0.073912797,45.72842227,0.254790732,4.628095976,0.048659815,6.266500548,0.095875453,127.1397723,0.326624311,11.39582517,0.228978244,4.732409551,0.019576414,0.984439937,0.012776705
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,19469.1,261662,660653,15.16,94,2239,337,364,77332,1486,2475,1476,17,352,2417,9532,466030,69902,1.649920654,86.15563506,4.307781753,13.84436494,1.384436494,0.27542932,0.027542932,4610.248256,169.7864944,1716.680373,574.2556523,5586.311354,64.02588147,354.6954517,1.783713254,38.81328375,0.081961578,15892.74003,5.384076861,1.543818014,0.018208205,5.784125479,0.017909738,42.10225675,0.101834918,35.80217711,0.124414396,5.434072792,0.066823231,6.037782671,0.042295483,94.40874214,1.478332239,8.138802933,0.19067742,3.83135941,0.031914034,0.865875823,0.005713133
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,18727.1,234632,558795,12.43,77,1879,166,261,14720,499,2297,1690,413,483,1432,9451,441167,64649,1.465574293,87.78918391,4.389459195,12.21081609,1.221081609,0.151943562,0.015194356,4492.936701,91.25578968,683.2265993,330.288126,5350.125775,88.24884284,192.9637106,2.274240107,32.12024806,0.26750503,4238.013215,41.30378848,0.741821487,0.012050585,6.534750001,0.055133377,62.86286744,0.567434644,87.02811474,1.036590908,13.1076901,0.161700542,2.592646444,0.02182641,91.74775016,0.40610632,5.71655892,0.108668636,5.092746285,0.020391728,0.664291765,0.003592713
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,21852.5,255256,716317,15.77,74,2478,449,500,171756,1982,2187,1776,987,176,2902,8839,428771,67501,1.731712024,83.20307613,4.160153806,16.79692387,1.679692387,0.198138286,0.019813829,2888.301683,68.23238158,1641.390095,595.6836327,5647.265231,93.13022455,401.5251511,5.219646629,37.52718028,0.316767608,3019.385269,15.63993365,1.001920559,0.002420104,9.469595678,0.030083547,77.32937965,0.189230748,126.1466188,1.544773235,11.39866575,0.123110885,6.954876946,0.093655521,100.7977844,1.025597866,10.71344504,0.348935486,3.961646879,0.031813072,0.860069661,0.003042513
"Bird Island","BI10","BI10.4",145,141,142,141.5,23792.7,263701,636782,14.47,90,2228,268,330,29438,702,2568,1830,2179,255,4346,10602,482780,71973,1.639804786,85.1918684,4.25959342,14.8081316,1.48081316,0.272975891,0.027297589,3582.990472,78.58668299,5412.77206,1133.053064,5488.24581,18.21293292,523.0275133,1.869875762,51.81193098,0.049962394,36760.73258,176.9107347,3.769043144,0.04959872,7.155451754,0.030710634,40.6484082,0.139015902,36.99629166,0.295665893,7.711571305,0.048823252,9.787053209,0.059603308,91.25190224,0.699750267,9.674570314,0.181126451,4.402169903,0.038260027,0.858893791,0.005791892
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,28024.9,277262,712664,17.34,40,1964,263,445,89823,2896,2696,2334,4031,277,2512,10675,495589,76919,1.862670198,83.66949487,4.183474744,16.33050513,1.633050513,0.185787318,0.018578732,3079.887722,69.393988,5594.694254,1512.473246,6436.237221,74.4489504,1149.476822,20.0568356,82.80022216,1.100044802,6074.810846,90.83067827,1.250579343,0.003346293,6.317256008,0.021906999,67.58862806,0.371106986,145.146567,1.516565475,5.364596712,0.048444676,20.81297886,0.274237825,121.0153008,1.039947828,58.14267286,6.463462839,2.650531649,0.028355943,1.955638501,0.006912781
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,27690,242037,611849,14.75,246,3286,847,503,62050,1072,2416,1693,1181,202,3753,9262,434070,66654,1.689314453,84.59367774,4.229683887,15.40632226,1.540632226,0.216122062,0.021612206,1967.834735,47.21852826,2804.420041,585.0799774,5642.915643,47.45052762,253.7523195,4.53576382,42.83579617,0.699855742,49049.46764,602.4649613,16.76515491,0.107585917,16.20702482,0.031666011,58.21751812,0.419583377,148.0981288,0.616201008,23.90463007,0.06260096,4.260143181,0.051289903,85.39705279,1.57965392,5.057282645,0.115798204,3.146538486,0.012418503,0.570044874,0.002471594
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,43792.2,399805,986771,22.93,250,3766,903,894,93729,1597,3801,2178,1171,815,5216,13727,713278,108733,2.591612971,81.40480554,4.070240277,18.59519446,1.859519446,0.204376401,0.02043764,1694.735519,33.88377561,21023.43508,4080.69295,6500.001765,157.0216455,1574.554031,8.965107785,219.4284939,1.571294805,51904.82693,633.5042142,14.16367715,0.137185591,12.29132094,0.371333453,34.00992075,0.690963856,148.2023206,1.199008089,15.12156246,0.095879915,43.16608535,0.550658986,121.2110164,1.417347214,16.90685979,0.392208159,2.340809011,0.027559605,2.295847112,0.022916539
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,29337,260750,654696,14.95,282,2579,652,376,75292,1530,2635,1746,1182,337,3645,9779,458280,71686,1.720581016,85.61977529,4.280988764,14.38022471,1.438022471,0.155714357,0.015571436,2752.727597,75.0445044,1243.638909,437.7130837,6176.904031,61.73924486,227.5458294,2.628673775,41.17278862,0.168930879,34127.39087,180.3909133,6.771422937,0.061270999,8.534630865,0.135962996,31.39605337,0.356175262,72.11422012,0.027502016,12.77033613,0.179389774,2.564526013,0.044583218,95.32051892,1.284724348,5.156965844,0.162421667,1.427389453,0.026999745,0.435568334,0.001231962
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,31322,236610,646039,14.52,88,2457,465,394,130335,2371,2053,1775,222,191,4508,8129,406221,64078,1.735336286,79.80943744,3.990471872,20.19056256,2.019056256,0.281645054,0.028164505,1749.918156,38.72164841,11337.75217,2616.583382,6093.055388,99.46457719,915.5577505,17.12303214,122.3868181,1.392426748,29114.97389,241.7735926,5.562421054,0.040340228,5.623618255,0.058556283,28.97367916,0.196486418,93.7163573,0.254401542,5.880620616,0.031702243,24.03856275,0.33159449,119.1548845,2.957478603,15.8979202,0.224859279,2.455216785,0.026686848,1.603626604,0.009780705
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,31934.2,236501,675706,15.56,56,2024,360,304,180693,2617,1972,1566,85,141,2243,7703,391067,63510,1.786858167,64.49599226,3.224799613,35.50400774,3.550400774,0.424637677,0.042463768,2718.898178,69.33850126,21256.47654,4637.824269,9697.311696,71.12002695,2196.956371,20.5861252,243.6402038,1.438405031,24845.10488,215.0112593,3.933228837,0.026102701,4.972003175,0.041494084,26.9304948,0.044764677,75.23867924,0.271229161,6.036863844,0.03305887,58.90663431,0.829134942,121.5336821,2.37450858,34.80855314,1.065068086,3.035214228,0.002861817,3.482291497,0.029947165
"Bird Island","BI10","BI10.5",197,194,195,194.5,32498.6,235048,695790,14.62,68,2340,409,291,207771,2176,2155,1574,391,411,2774,7055,383607,61684,1.768963857,84.6167805,4.230839025,15.3832195,1.53832195,0.178709685,0.017870968,3664.07192,100.1547698,4642.258304,1389.963814,7288.66125,112.260405,660.9863166,4.425975943,67.78989286,0.637151851,27055.53366,347.4235335,5.752426608,0.069152067,6.761396788,0.051811841,46.72905914,0.124522427,130.7729603,0.867339372,9.314588371,0.068044927,12.67353344,0.313961187,118.8967341,1.10170535,12.27077458,0.312493156,4.000698932,0.018011777,1.094034563,0.005286327
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,27377.2,186100,565468,13.23,81,2364,453,414,194509,1798,1700,1243,199,511,2730,5554,285787,48427,1.52690128,83.13688985,4.156844492,16.86311015,1.686311015,0.188368399,0.01883684,3848.06892,41.19289408,2367.746797,501.3815099,5866.599826,19.40433341,234.8825033,3.049548028,42.2400533,0.50833131,70333.76898,854.1412459,6.816523388,0.051952222,10.88241106,0.042866217,68.09335946,0.816242088,90.27805952,0.945061034,12.34294185,0.16755276,2.553601126,0.066508029,85.79649547,1.323999276,5.275218799,0.119640341,3.910548282,0.038689543,0.525755101,0.007880519
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,35013,250550,744589,15.47,182,3054,522,459,234711,1908,2162,1449,6298,618,3821,7720,395820,63751,1.772971174,79.05956449,3.952978225,20.94043551,2.094043551,0.264956368,0.026495637,3024.167109,28.86847469,21467.56946,3376.49462,6764.508083,155.9717551,1293.229498,27.32451171,160.5283798,4.267333565,107255.388,1659.164889,11.84941346,0.182590959,9.702568502,0.102763012,34.46389212,0.171217055,255.5835815,0.192255063,14.42470471,0.069185362,25.70637949,0.437908223,111.2286921,1.368956728,16.62081972,0.226326755,2.773325809,0.03176745,1.704581666,0.021768116
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,36988.6,243470,651071,15.24,129,2643,419,414,120267,1400,2150,1621,7061,434,3963,8385,412611,63893,1.703682864,84.98142525,4.249071263,15.01857475,1.501857475,0.168317087,0.016831709,3706.069884,86.41481399,3810.216932,970.2818044,8457.047616,112.1937561,430.4165299,8.811078548,73.63658302,0.458479319,46161.88967,524.1315649,10.70451145,0.097700279,8.361148745,0.023794572,60.20244341,0.548086843,399.0691035,1.143493468,17.48268627,0.198162364,6.149324503,0.106149158,136.1592518,2.420949669,8.204676276,0.204151273,3.749120605,0.024650014,0.747638528,0.004995818
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,39051,232577,696084,15.38,82,3141,419,396,224502,2290,2128,1581,541,500,4038,7286,367258,59783,1.790946688,81.1801616,4.05900808,18.8198384,1.88198384,0.221334128,0.022133413,7511.379127,223.8801072,2179.747422,564.4911449,7198.222186,31.09232618,389.6638198,1.204776961,51.31483509,0.280653345,28337.51625,150.1728069,6.228678054,0.076630039,7.693387104,0.131022298,73.19734621,0.669512032,48.4428199,0.895210879,7.838729242,0.124651229,4.534790413,0.043240663,116.7915838,1.35786783,9.348601732,0.169618079,3.415881262,0.066169411,0.749361277,0.007417022
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,44399.1,257938,666768,17.04,55,1621,219,290,97377,1252,2273,1547,629,514,2321,8788,456327,69187,1.819877148,83.17463361,4.158731681,16.82536639,1.682536639,0.198638202,0.01986382,3917.962311,74.2155094,2601.638721,565.6764383,6524.805309,142.7736565,301.303437,4.144805205,64.81180749,1.00218427,68261.38783,1004.21079,16.02760991,0.211315323,12.99158529,0.144606736,116.9107903,0.841170558,232.0043335,1.25702578,14.95444042,0.169784194,3.037488827,0.043979182,95.07661499,0.69914278,4.985074292,0.127587693,3.090751455,0.020183412,0.448381306,0.005306797
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,37904.5,220535,556447,14.56,69,2165,225,305,60161,584,1938,947,0,367,3094,7785,399783,59912,1.49871289,84.44773905,4.222386952,15.55226095,1.555226095,0.177747431,0.017774743,4680.104734,586.151653,2160.208858,504.1027803,6240.983611,108.9028532,344.5794406,2.148483588,41.07148346,0.20369105,23779.92504,84.31463012,0.986560337,0.017365677,4.505779401,0.038483459,32.9760233,0.203795286,29.80921049,0.499214017,6.793606115,0.069503372,5.026836978,0.140151798,101.292967,0.811859205,7.527120756,0.159172342,1.7765461,0.019867709,0.69790539,0.001405959
"Bird Island","BI10","BI10.7",271,265,266,265.5,43768.4,234503,718182,15.23,104,2521,357,421,248149,2948,2178,1650,1484,149,1979,7369,366536,59857,1.796732627,85.67958003,4.283979001,14.32041997,1.432041997,0.148754132,0.014875413,4753.263651,653.2476809,2135.960113,544.2065152,7771.356271,103.9511198,232.314161,2.611283675,56.87091915,0.770254564,58747.48129,702.1728764,23.84445704,0.16101435,14.66999494,0.043454784,145.5334854,0.604259635,316.1883316,1.43334069,15.17453377,0.147209444,2.699363842,0.043626306,119.6977813,1.823339563,5.881017729,0.137897582,3.15990626,0.005576577,0.499045891,0.00796755
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,45414.1,252874,674609,14.77,139,2311,330,264,125433,2213,2511,1600,3296,337,3278,8717,433166,67409,1.711821248,84.86245119,4.24312256,15.13754881,1.513754881,0.207020337,0.020702034,3716.413631,63.81448751,1942.49545,493.2577849,6196.60628,108.1773992,227.4128172,2.821840444,39.2756349,0.284820113,49872.72804,195.5233093,36.34308788,0.239108874,15.10269284,0.154591105,49.70613596,0.602315252,205.2689039,3.657473631,12.76796013,0.043601511,2.511699688,0.052718839,99.83622626,1.333664845,5.366567931,0.132996241,1.246594212,0.013360443,0.429107176,0.003204618
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,51776.8,263295,1080099,18.18,47,2591,352,509,659187,5008,1938,2024,3112,325,2771,5634,314774,59679,2.277778383,81.18525035,4.059262517,18.81474965,1.881474965,0.208570691,0.020857069,4199.690674,81.21750475,643.1526044,288.8626367,6725.623999,76.79365852,263.8954581,3.723189943,55.60667563,0.815337755,73040.17367,1106.313667,35.13097178,0.339194543,14.43173082,0.092282265,80.36054861,0.943852418,206.0678435,1.998237331,16.9214082,0.263096896,3.349219592,0.075375837,110.4667193,1.25507819,6.491956622,0.038041679,3.493072909,0.039826018,0.610606448,0.001338725
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,48018.1,252440,856711,16.29,126,2608,515,412,387498,4495,2112,2233,3539,346,3530,6832,359353,61592,1.885921467,80.63662046,4.031831023,19.36337954,1.936337954,0.217571512,0.021757151,3127.488942,35.02606732,661.9708417,325.0800747,5960.306307,73.5430348,277.5603378,3.234638602,54.76131918,0.753154456,74836.34761,1508.582346,16.81953054,0.252021868,12.65956686,0.112267444,78.52750915,0.406648955,100.7202187,1.066310133,15.16180663,0.331171028,3.120629768,0.061658011,95.05242503,0.168162163,6.318871737,0.0188804,3.874266683,0.031053551,0.552785654,0.004543821
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,44929.8,224214,749871,14.33,335,3711,1072,683,318828,2883,1943,1352,623,462,5419,6060,323498,55649,1.720160675,79.31158754,3.965579377,20.68841246,2.068841246,0.286703829,0.028670383,2256.343461,33.09058136,1745.183529,636.3270443,6654.679504,148.2965685,691.4862269,19.13692576,80.6250656,1.855020668,65108.07757,794.4594063,25.16163647,0.249659858,12.05911704,0.120104386,51.06064778,0.387827921,130.9239492,1.378555529,14.08609213,0.26063734,9.077687309,0.090928537,109.9097917,0.96047458,13.10956878,0.116047921,4.086498841,0.00643734,0.973432922,0.009359448
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,55328,269064,842708,17.19,123,2929,520,493,311745,2515,2415,1378,78,223,4944,7816,415807,67781,1.95679454,85.15747699,4.257873849,14.84252301,1.484252301,0.17652867,0.017652867,1913.800621,31.98948586,543.4726901,321.6442737,6154.781584,212.2812892,244.2716404,8.441122001,70.96066682,1.987543814,88890.89611,1660.843449,11.55396277,0.105306814,9.165262456,0.085089883,50.54112884,0.613078987,83.34916521,1.323098068,17.61827763,0.432720307,2.400125578,0.053500798,92.99111859,0.763475857,4.823094008,0.025467738,4.499188133,0.02272668,0.436569956,0.006324564
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,56752,260173,700428,16.45,133,2163,547,373,109634,2293,2354,1750,286,706,5029,10326,465071,72899,1.882000302,82.30218853,4.115109426,17.69781147,1.769781147,0.241308675,0.024130868,1062.510848,14.90439106,2704.115972,923.7798793,4314.171561,119.5885434,390.264881,7.243542018,272.5348429,4.718080418,76198.44633,424.3239232,13.36853596,0.092428737,9.036215502,0.032002711,35.29243706,0.37314492,141.7452321,1.295372249,16.48089604,0.082550766,13.28023284,0.106355187,54.97448254,0.904111945,14.95585253,0.150306821,3.349093001,0.037822983,0.815362521,0.010288198
