Marion Island,PB1,PB1_1A,ACE_ITRAX_16117,5.5,5.5,5.5,0.05,-40.02,506.54,98.47,134.39,0.0279,6.08,1,TRUE,21066,48811,1.37,13,12,8,0,10,0,46,133,41,0,0,51,1119,17,224,85,0,0,31,1191,0,0,0,944,0,0,0,0,57,0,22,38449,5595,66,44044,6.872028597,0.145517439,3.59,3,83.43
Marion Island,PB1,PB1_1A,ACE_ITRAX_16118,5.6,5.6,5.6,0.05,-37.42,508.9,103.39,137.98,0.0279,6.1,1,TRUE,21602,49890,1.35,0,23,0,19,0,7,50,113,16,0,0,75,809,91,243,44,0,0,143,1215,68,62,0,779,0,0,0,0,0,128,0,39448,5782,99,45230,6.82255275,0.146572703,3.59,2.48,69.08
Marion Island,PB1,PB1_1A,ACE_ITRAX_16119,5.7,5.7,5.7,0.05,-35.63,511.22,106.59,141.57,0.0279,6.1,1,TRUE,21959,51151,1.46,0,7,0,8,23,11,69,45,39,0,0,67,1206,146,174,121,0,0,28,1435,34,52,0,852,7,8,0,0,90,56,0,39997,5857,0,45854,6.828922657,0.146435983,3.59,2.06,57.24
Marion Island,PB1,PB1_1A,ACE_ITRAX_16120,5.8,5.8,5.8,0.05,-33.76,514.29,110.55,145.17,0.0278,6.1,1,TRUE,22064,50855,1.51,0,0,0,27,11,39,87,133,26,11,24,48,915,69,164,66,0,0,163,1334,0,117,0,932,0,4,0,0,55,120,20,40128,5569,107,45697,7.205602442,0.138780901,3.6,2.47,68.61
Marion Island,PB1,PB1_1A,ACE_ITRAX_16121,5.9,5.9,5.9,0.05,-31.56,516,113.71,148.76,0.0279,6.11,1,TRUE,22803,52843,1.49,0,0,0,7,24,27,32,129,49,18,12,73,914,79,229,131,0,0,0,1370,53,74,0,914,0,10,0,0,46,6,0,41760,6109,0,47869,6.835816009,0.146288314,3.59,1.96,54.46
Marion Island,PB1,PB1_1A,ACE_ITRAX_16122,6,6,6,0.05,-29.73,519.41,117.88,152.35,0.0279,6.11,1,TRUE,23091,54502,1.21,16,17,6,22,12,24,66,107,44,0,20,34,1400,87,216,129,0,0,105,1523,0,49,0,833,0,4,0,0,79,68,0,42495,6304,171,48799,6.740958122,0.148346864,3.59,2.62,72.98
Marion Island,PB1,PB1_1A,ACE_ITRAX_16123,6.1,6.1,6.1,0.05,-28.4,522.67,121.4,155.94,0.0279,6.12,1,TRUE,22926,54426,1.28,0,15,0,13,17,15,59,157,67,0,42,79,1533,12,199,113,0,0,69,1627,0,0,0,969,0,0,0,0,102,46,88,42267,6142,200,48409,6.881634647,0.145314311,3.59,2.3,63.93
Marion Island,PB1,PB1_1A,ACE_ITRAX_16124,6.2,6.2,6.2,0.05,-26.86,531.38,125.47,159.53,0.0279,6.13,1,TRUE,23348,56050,1.26,0,40,0,7,22,19,53,108,34,16,0,49,1325,99,280,116,0,0,12,1635,0,74,0,963,0,8,0,0,72,207,23,43624,6523,0,50147,6.687720374,0.149527783,3.59,5.13,142.76
Marion Island,PB1,PB1_1A,ACE_ITRAX_16125,6.3,6.3,6.3,0.05,-24.66,535.96,129.68,163.13,0.0278,6.15,1,TRUE,23418,56369,1.34,17,28,0,9,15,14,18,80,54,0,15,23,1701,35,257,89,0,0,109,1730,7,84,0,950,0,0,0,0,242,138,27,43503,6368,0,49871,6.831501256,0.146380709,3.6,3.39,94.17
Marion Island,PB1,PB1_1A,ACE_ITRAX_16126,6.4,6.4,6.4,0.05,-23.66,538.74,133.33,166.72,0.0279,6.17,1,TRUE,22941,53944,1.35,0,0,0,0,0,24,28,105,28,19,0,51,1365,90,259,181,0,0,129,1603,0,33,0,828,0,0,0,0,165,107,0,42120,6081,0,48201,6.926492353,0.144373219,3.59,1.89,52.65
Marion Island,PB1,PB1_1A,ACE_ITRAX_16127,6.5,6.5,6.5,0.05,-22.13,540.17,137.53,170.31,0.0279,6.18,1,TRUE,22790,53450,1.42,0,19,5,11,28,28,31,129,43,0,21,70,1985,0,165,140,0,0,29,1344,101,0,0,845,8,0,0,6,0,33,0,41782,5932,11,47714,7.04349292,0.141975013,3.59,1.48,41.23
Marion Island,PB1,PB1_1A,ACE_ITRAX_16128,6.6,6.6,6.6,0.05,-20.86,544.87,141.36,173.9,0.0279,6.19,1,TRUE,22853,53798,1.39,0,18,0,22,17,0,41,114,38,7,40,24,1917,22,187,78,0,0,15,1322,120,159,0,899,0,0,0,0,170,109,0,41601,6079,31,47680,6.843395295,0.146126295,3.59,2.99,83.15
Marion Island,PB1,PB1_1A,ACE_ITRAX_16129,6.7,6.7,6.7,0.05,-19.91,551.32,145.42,177.5,0.0278,6.19,1,TRUE,22900,53579,1.23,36,50,11,8,13,24,37,92,26,0,22,50,1505,61,196,58,0,0,25,1419,23,48,0,888,0,0,0,0,62,72,34,42198,5952,0,48150,7.089717742,0.141049339,3.6,3.7,102.78
Marion Island,PB1,PB1_1A,ACE_ITRAX_16130,6.8,6.8,6.8,0.05,-18.87,556.83,148.99,181.09,0.0279,6.2,1,TRUE,23162,54448,1.47,29,12,20,17,0,7,26,101,56,9,0,27,1356,83,218,134,0,0,165,1628,0,0,0,758,0,0,0,0,47,89,48,42643,6038,49,48681,7.062437893,0.141594166,3.59,3.28,91.23
Marion Island,PB1,PB1_1A,ACE_ITRAX_16131,6.9,6.9,6.9,0.05,-17.78,560.37,152.48,184.68,0.0279,6.19,1,TRUE,23228,55556,1.24,0,23,25,17,16,25,61,113,36,11,0,32,1633,42,238,52,0,4,16,1463,0,118,0,813,0,0,0,0,0,164,0,43464,6324,0,49788,6.872865275,0.145499724,3.59,2.31,64.48
Marion Island,PB1,PB1_1A,ACE_ITRAX_16132,7,7,7,0.05,-16.6,563.48,155.62,188.27,0.0279,6.2,1,TRUE,22963,54547,1.35,0,15,0,9,0,22,36,134,49,15,0,39,1980,62,131,103,5,0,62,1552,34,9,0,770,0,5,0,0,73,10,0,42389,6314,0,48703,6.713493823,0.148953738,3.59,2.15,59.75
Marion Island,PB1,PB1_1A,ACE_ITRAX_16133,7.1,7.1,7.1,0.05,-15.35,570.57,159.52,191.86,0.0279,6.21,1,TRUE,23245,54778,1.36,0,11,0,20,0,41,37,117,75,0,11,24,1886,43,200,61,0,0,94,1431,25,64,0,840,8,0,0,0,49,117,0,42689,6173,158,48862,6.915438199,0.144603996,3.59,4.17,116.16
Marion Island,PB1,PB1_1A,ACE_ITRAX_16134,7.2,7.2,7.2,0.05,-14.01,573.5,163.7,195.46,0.0278,6.23,1,TRUE,22473,53545,1.42,33,42,27,0,20,12,57,98,74,0,7,34,1889,58,262,116,0,49,94,1538,0,99,0,917,0,0,0,0,0,0,69,41290,5969,24,47259,6.917406601,0.144562848,3.6,2.13,59.31
Marion Island,PB1,PB1_1A,ACE_ITRAX_16135,7.3,7.3,7.3,0.05,-13.2,579.36,167.94,199.05,0.0279,6.23,1,TRUE,21869,52449,1.16,12,41,0,7,13,25,74,107,15,0,0,37,1446,35,275,161,57,0,99,1350,0,126,0,1085,0,0,0,0,78,0,42,40599,5970,92,46569,6.800502513,0.147047957,3.59,3.34,92.9
Marion Island,PB1,PB1_1A,ACE_ITRAX_16136,7.4,7.4,7.4,0.05,-12.01,585.45,171.86,202.64,0.0279,6.24,1,TRUE,21482,51310,1.37,0,8,0,8,7,13,38,108,34,0,25,48,1530,45,161,36,0,0,69,1581,0,6,0,843,0,0,0,0,203,188,0,39955,5777,0,45732,6.916219491,0.144587661,3.59,3.64,101.39
Marion Island,PB1,PB1_1A,ACE_ITRAX_16137,7.5,7.5,7.5,0.05,-11.27,591.51,175.83,206.23,0.0279,6.24,1,TRUE,22381,53811,1.39,34,30,30,32,14,28,33,107,41,0,27,53,1345,0,176,53,0,0,35,1389,0,101,0,973,0,0,0,0,184,51,0,41967,6381,0,48348,6.576868829,0.152048038,3.59,3.4,94.71
Marion Island,PB1,PB1_1A,ACE_ITRAX_16138,7.6,7.6,7.6,0.05,-10.16,597.6,179.24,209.82,0.0279,6.25,1,TRUE,23591,56039,1.32,0,13,13,15,15,4,28,102,62,0,12,67,1730,40,215,161,0,37,79,1573,0,130,0,1025,0,0,0,0,0,0,0,43422,6443,132,49865,6.739407108,0.148381005,3.59,3.6,100.28
Marion Island,PB1,PB1_1A,ACE_ITRAX_16139,7.7,7.7,7.7,0.05,-9,602.1,183.03,213.42,0.0278,6.25,1,TRUE,24332,56873,1.32,0,33,5,20,19,25,41,110,20,7,26,49,1684,107,236,162,0,0,109,1480,0,123,0,1029,0,0,0,12,118,70,0,44202,6330,0,50532,6.982938389,0.14320619,3.6,2.83,78.61
Marion Island,PB1,PB1_1A,ACE_ITRAX_16140,7.8,7.8,7.8,0.05,-8.15,607.36,186.43,217.01,0.0279,6.25,1,TRUE,24067,57134,1.38,0,8,0,0,16,0,12,114,74,6,0,47,1636,13,151,100,0,0,33,1523,0,70,0,871,0,0,0,0,55,80,13,44726,6809,86,51535,6.568659128,0.152238072,3.59,3.06,85.1
Marion Island,PB1,PB1_1A,ACE_ITRAX_16141,7.9,7.9,7.9,0.05,-6.98,611.55,189.83,220.6,0.0279,6.26,1,TRUE,23982,56793,1.28,33,38,6,20,23,50,21,72,10,6,27,30,1290,52,221,137,0,0,73,1665,0,84,0,968,9,6,0,0,0,0,0,44694,6360,28,51054,7.027358491,0.14230098,3.59,2.68,74.65
Marion Island,PB1,PB1_1A,ACE_ITRAX_16142,8,8,8,0.05,-5.44,617.84,193.42,224.19,0.0279,6.26,1,TRUE,24213,58289,1.82,0,16,0,16,18,34,38,139,89,6,12,89,1811,70,212,48,0,0,89,1776,5,128,0,884,0,0,0,0,128,161,0,45176,6513,0,51689,6.936281284,0.144169471,3.59,3.92,109.05
Marion Island,PB1,PB1_1A,ACE_ITRAX_16143,8.1,8.1,8.1,0.05,-4.08,624.31,196.57,227.79,0.0278,6.26,1,TRUE,24364,57686,1.53,0,19,0,6,24,36,49,112,30,11,48,57,1986,82,221,51,0,0,0,1893,15,165,0,864,0,0,0,0,107,105,0,44438,6484,0,50922,6.853485503,0.145911157,3.6,3.91,108.75
Marion Island,PB1,PB1_1A,ACE_ITRAX_16144,8.2,8.2,8.2,0.05,-3.46,633.16,201.22,231.38,0.0279,6.26,1,TRUE,24008,58405,1.16,58,35,16,32,7,17,42,94,25,0,24,47,2413,140,235,161,0,0,31,2135,29,122,52,1133,0,0,0,0,36,128,0,44009,6533,25,50542,6.736415123,0.148446909,3.59,4.74,131.89
Marion Island,PB1,PB1_1A,ACE_ITRAX_16145,8.3,8.3,8.3,0.05,-2.62,640.09,204.84,234.97,0.0279,6.26,1,TRUE,24049,58731,1.2,8,17,0,19,9,12,45,129,46,0,18,49,2443,9,234,231,0,0,29,2254,0,70,0,1022,0,0,0,0,33,0,0,44547,6713,25,51260,6.635930285,0.150694772,3.59,3.89,108.22
Marion Island,PB1,PB1_1A,ACE_ITRAX_16146,8.4,8.4,8.4,0.05,-1.82,646.26,207.54,238.56,0.0279,6.27,1,TRUE,24083,57535,1.18,0,12,0,10,0,18,37,186,54,0,23,16,2579,64,254,119,0,10,44,2000,0,61,0,939,0,0,0,0,0,5,0,43878,6380,95,50258,6.877429467,0.145403163,3.59,3.48,97.08
Marion Island,PB1,PB1_1A,ACE_ITRAX_16147,8.5,8.5,8.5,0.05,-1.6,656.95,210.25,242.15,0.0279,6.26,1,TRUE,22697,55355,1.35,8,27,22,17,16,10,26,140,86,0,7,37,1937,123,178,153,0,0,50,1772,0,0,59,1116,0,0,0,0,83,0,58,42180,6570,0,48750,6.420091324,0.155761024,3.59,5.46,151.95
Marion Island,PB1,PB1_1A,ACE_ITRAX_16148,8.6,8.6,8.6,0.05,-0.29,664.07,213.32,245.75,0.0278,6.25,1,TRUE,20326,49517,1.3,28,38,19,0,28,26,36,63,10,0,0,11,1258,95,161,168,0,0,0,1457,60,0,0,1008,0,0,0,0,27,0,0,38465,5862,74,44327,6.561753668,0.152398284,3.6,4.22,117.08
Marion Island,PB1,PB1_1A,ACE_ITRAX_16149,8.7,8.7,8.7,0.05,0.71,671.62,217.03,249.34,0.0279,6.24,1,TRUE,21525,53210,1.2,0,7,0,33,21,12,38,127,37,0,5,24,1860,82,199,111,0,0,40,1826,15,87,0,965,9,0,0,6,194,0,0,40702,6059,119,46761,6.717610167,0.148862464,3.59,4.27,119.08
Marion Island,PB1,PB1_1A,ACE_ITRAX_16150,8.8,8.8,8.8,0.05,1.37,678.37,220.06,252.93,0.0279,6.23,1,TRUE,22234,53768,1.21,0,45,0,8,25,4,48,112,45,0,8,35,1920,145,209,59,0,0,118,1831,0,0,0,958,0,0,0,0,75,0,0,41274,6070,85,47344,6.799670511,0.14706595,3.59,3.71,103.2
Marion Island,PB1,PB1_1A,ACE_ITRAX_16151,8.9,8.9,8.9,0.05,2.07,687.19,223.14,256.52,0.0279,6.23,1,TRUE,22648,54506,1.29,0,0,0,0,4,0,19,122,31,4,26,10,1669,0,188,75,0,0,38,1679,107,80,0,859,0,0,0,0,90,257,0,42408,6176,0,48584,6.866580311,0.145632899,3.59,4.76,132.59
Marion Island,PB1,PB1_1A,ACE_ITRAX_16152,9,9,9,0.05,2.57,691.79,226.35,260.11,0.0279,6.24,1,TRUE,23290,55962,1.24,0,25,0,21,27,19,38,113,44,12,30,33,1785,113,153,160,0,0,78,1934,0,70,24,961,7,0,0,0,150,127,0,42749,6508,0,49257,6.568684696,0.152237479,3.59,2.55,71.03
Marion Island,PB1,PB1_1A,ACE_ITRAX_16153,9.1,9.1,9.1,0.05,3.12,699.04,229.18,263.71,0.0278,6.26,1,TRUE,23055,54752,1.24,0,18,7,0,0,20,35,111,40,0,0,38,2172,0,173,89,0,10,80,1945,0,74,0,850,0,0,0,0,0,0,0,42145,6165,0,48310,6.836171938,0.146280698,3.6,3.9,108.33
Marion Island,PB1,PB1_1A,ACE_ITRAX_16154,9.2,9.2,9.2,0.05,3.9,705.42,232.73,267.3,0.0279,6.28,1,TRUE,23122,55909,1.31,23,18,8,7,8,23,39,104,49,12,0,13,2641,110,178,48,0,0,0,1916,0,188,0,873,0,0,0,0,25,62,0,42404,6261,90,48665,6.772720013,0.147651165,3.59,3.58,99.72
Marion Island,PB1,PB1_1A,ACE_ITRAX_16155,9.3,9.3,9.3,0.05,4.78,711.17,235.99,270.89,0.0279,6.3,1,TRUE,23650,57386,1.22,0,9,0,0,0,21,16,116,51,0,8,34,2788,63,215,65,0,0,99,1892,100,39,0,934,0,0,0,0,36,50,0,43403,6553,0,49956,6.623378605,0.150980347,3.59,3.32,92.34
Marion Island,PB1,PB1_1A,ACE_ITRAX_16156,9.4,9.4,9.4,0.05,6.02,719.76,239.62,274.48,0.0279,6.31,1,TRUE,23456,57311,1.28,0,30,5,31,25,13,37,130,71,0,0,28,3181,0,175,231,4,0,0,2012,25,217,0,956,0,0,0,0,54,0,0,42977,6463,115,49440,6.649698283,0.150382763,3.59,4.92,136.91
Marion Island,PB1,PB1_1A,ACE_ITRAX_16157,9.5,9.5,9.5,0.05,6.63,729.02,242.68,278.08,0.0278,6.33,1,TRUE,23271,56132,1.31,6,0,9,8,20,11,22,112,48,0,0,32,3125,43,217,144,0,0,28,2044,0,194,0,788,0,0,0,0,62,88,0,42133,6254,18,48387,6.73696834,0.148434719,3.6,4.94,137.08
Marion Island,PB1,PB1_1A,ACE_ITRAX_16158,9.6,9.6,9.6,0.05,7.74,737.05,246,281.67,0.0279,6.34,1,TRUE,23427,57046,1.21,0,0,10,22,15,22,32,184,104,8,0,72,3471,125,228,121,0,33,0,1830,0,242,0,864,0,0,0,9,9,55,0,42500,6360,0,48860,6.682389937,0.149647059,3.59,4.57,127.3
Marion Island,PB1,PB1_1A,ACE_ITRAX_16159,9.7,9.7,9.7,0.05,8.19,745.13,249.1,285.26,0.0279,6.33,1,TRUE,23105,56362,1.29,25,27,8,24,32,8,27,86,54,0,32,0,2922,0,273,141,0,0,0,1964,6,0,0,1052,6,0,0,0,0,25,0,42333,6475,71,48808,6.537915058,0.15295396,3.59,4.27,118.8
Marion Island,PB1,PB1_1A,ACE_ITRAX_16160,9.8,9.8,9.8,0.05,9.19,751.45,252.56,288.85,0.0279,6.31,1,TRUE,23252,56728,1.25,0,54,0,6,15,15,29,124,64,0,24,12,3133,72,238,155,0,0,0,1915,0,345,0,1020,0,0,0,0,67,74,16,42243,6245,41,48488,6.764291433,0.147835144,3.59,3.66,101.95
Marion Island,PB1,PB1_1A,ACE_ITRAX_16161,9.9,9.9,9.9,0.05,10.29,761.25,255.36,292.44,0.0279,6.3,1,TRUE,23335,56919,1.29,0,6,0,30,29,0,32,140,88,0,51,27,3251,13,276,215,0,0,0,1882,0,152,0,871,0,12,0,0,70,140,47,42349,6424,0,48773,6.592310087,0.151691894,3.59,5.45,151.81
Marion Island,PB1,PB1_1A,ACE_ITRAX_16162,10,10,10,0.05,11.02,769.47,259.08,296.04,0.0278,6.3,1,TRUE,23486,57516,1.25,0,25,0,12,6,24,40,145,89,17,0,8,3205,57,212,245,0,0,4,1726,0,108,0,946,0,0,0,0,113,98,62,43060,6464,145,49524,6.661509901,0.150116117,3.6,4.48,124.31
Marion Island,PB1,PB1_1A,ACE_ITRAX_16163,10.1,10.1,10.1,0.05,14.04,772.24,262.03,299.74,0.027,6.32,1,TRUE,23280,56815,1.38,17,0,28,0,0,25,42,144,95,0,14,29,2917,140,220,107,0,0,0,1626,0,87,0,1162,0,0,0,0,54,0,0,42924,6291,20,49215,6.823080591,0.146561364,3.7,2.89,78.24
Marion Island,PB1,PB1_1A,ACE_ITRAX_16164,10.2,10.2,10.2,0.05,17,775.11,265.87,303.45,0.027,6.32,1,TRUE,23268,56267,1.29,32,5,11,5,30,10,36,162,93,5,0,28,3817,115,273,150,8,0,0,1726,0,104,0,911,0,0,0,0,57,0,0,41571,6377,0,47948,6.518896033,0.153400207,3.71,2.92,78.57
Marion Island,PB1,PB1_1A,ACE_ITRAX_16165,10.3,10.3,10.3,0.05,20.82,778.24,269.82,307.16,0.027,6.32,1,TRUE,22632,56145,1.36,7,55,15,16,35,35,38,190,90,0,20,47,4162,106,225,33,0,0,124,1711,0,87,0,752,0,0,0,0,92,212,0,41217,6160,0,47377,6.691071429,0.149452896,3.71,3.48,93.67
